Date,Close/Last,Volume,Open,High,Low
08/01/2022,$132.04,4142099,$130.75,$132.7,$130.7
07/29/2022,$130.79,5786815,$129.52,$131,$129.31
07/28/2022,$129.22,3913680,$128.75,$129.81,$128.606
07/27/2022,$129.12,4175625,$127.97,$129.43,$127.58
07/26/2022,$128.08,3645313,$128.26,$129.3,$127.63
07/25/2022,$128.54,4702352,$128.44,$129.1257,$127.9
07/22/2022,$128.25,6467205,$127.03,$128.32,$125.71
07/21/2022,$127.15,11975360,$128.75,$128.81,$125.13
07/20/2022,$129.18,9882016,$130.7,$130.72,$128.06
07/19/2022,$130.88,29690540,$131.58,$132.56,$127.72
07/18/2022,$138.13,8231694,$140.15,$140.31,$137.7844
07/15/2022,$139.92,4519320,$140.68,$140.68,$138.61
07/14/2022,$139.06,5298351,$135.6,$139.43,$135.02
07/13/2022,$137.18,4123213,$137.18,$138.9,$136.8
07/12/2022,$139.18,3235571,$140.84,$141.55,$138.565
07/11/2022,$141,3912773,$140.62,$141.87,$140.13
07/08/2022,$140.47,2820928,$140.76,$141.3203,$139.82
07/07/2022,$140.83,3897077,$138.91,$141.325,$138.83
07/06/2022,$138.08,3237059,$138,$139.14,$137.13
07/05/2022,$137.62,6274067,$139.97,$139.97,$135.27
07/01/2022,$141.12,4012106,$141,$141.67,$139.26
06/30/2022,$141.19,4878020,$139.58,$142.46,$139.28
06/29/2022,$140.71,4161491,$142.74,$143.5213,$139.5
06/28/2022,$141.86,4065202,$142.92,$144.155,$141.32
06/27/2022,$142.8,3935968,$142.26,$143.83,$141.95
06/24/2022,$142.06,11493010,$139.2,$142.37,$139.13
06/23/2022,$138.44,4547925,$137.14,$138.62,$136.5
06/22/2022,$137.08,3791635,$136.1,$138.18,$136.03
06/21/2022,$137.85,4089272,$135.9,$138.5,$135.9
06/17/2022,$135.02,12968510,$135.99,$136.98,$132.85
06/16/2022,$135.67,5386396,$135.3,$136.24,$134.39
06/15/2022,$137.06,4606887,$136.01,$138.45,$135.58
06/14/2022,$135.72,4607785,$135,$136.9501,$134.86
06/13/2022,$135.11,6486044,$133.97,$137.57,$133.76
06/10/2022,$136.19,4661716,$137.8,$137.8,$135.25
06/09/2022,$137.96,3592551,$140.15,$141.04,$137.93
06/08/2022,$140.83,3005666,$142.07,$142.8,$140.15
06/07/2022,$142.78,2887051,$142.6,$142.98,$140.96
06/06/2022,$142.88,4767100,$142.98,$144.73,$142
06/03/2022,$141.18,4352213,$140.26,$142.5794,$139.74
06/02/2022,$140.15,3734812,$139.45,$140.29,$136.85
06/01/2022,$139.43,3796488,$139.67,$140.4699,$138.52
05/31/2022,$138.84,7978053,$138.2,$139.83,$136.81
05/27/2022,$139.27,4608215,$137.39,$139.7394,$137.24
05/26/2022,$136.89,3929338,$135,$137.55,$134.52
05/25/2022,$134.39,3299303,$132.86,$134.82,$132.86
05/24/2022,$133.8,4189723,$130.57,$134.37,$130.42
05/23/2022,$131.17,3591511,$129.5,$131.95,$129.42
05/20/2022,$128.48,6914458,$130.18,$130.37,$125.8
05/19/2022,$129.66,5819664,$132,$132.32,$128.71
05/18/2022,$132.94,6003015,$137.1,$137.615,$132.17
05/17/2022,$138.37,4372909,$137.19,$138.37,$135.64
05/16/2022,$135.03,4250395,$133.1,$136.51,$132.41
05/13/2022,$133.6,4195218,$133,$133.8,$131.05
05/12/2022,$132.9,5384809,$131.27,$133.62,$130.41
05/11/2022,$130.75,5301131,$129.86,$132.96,$129.86
05/10/2022,$129.13,8642398,$135,$135.41,$128.43
05/09/2022,$134.44,7647933,$134.41,$136.345,$133.315
05/06/2022,$137.67,7306396,$135.47,$137.99,$135.47
05/05/2022,$135.92,5957434,$136.46,$137.26,$134.76
05/04/2022,$137.4,5932574,$132.87,$137.87,$132.14
05/03/2022,$132.52,3688574,$133,$133.6,$131.99
05/02/2022,$133.04,4213477,$133,$133.77,$130.89
04/29/2022,$132.21,5078660,$135.13,$135.5545,$132
04/28/2022,$135.74,4477068,$136.85,$136.99,$134.81
04/27/2022,$135.06,4369052,$135.78,$137.12,$134.63
04/26/2022,$136.19,4956236,$139,$139.87,$136.17
04/25/2022,$139.1,5748289,$137.59,$139.65,$135.19
04/22/2022,$138.25,6508599,$139.7,$140.4399,$137.35
04/21/2022,$139.85,9922349,$138.23,$141.88,$137.35
04/20/2022,$138.32,17859160,$135,$139.56,$133.38
04/19/2022,$129.15,7971361,$126.08,$129.4,$126
04/18/2022,$126.17,4884150,$126.6,$127.3899,$125.53
