Date,Close/Last,Volume,Open,High,Low
08/01/2022,$150.98,4463512,$146.65,$153.85,$143.38
07/29/2022,$149.91,5250730,$145,$149.97,$142.05
07/28/2022,$143.28,5740717,$140.22,$143.28,$134.32
07/27/2022,$141.3,5513717,$136.43,$142.6499,$133.79
07/26/2022,$130.12,7205759,$137,$137.44,$129.78
07/25/2022,$140.26,5922122,$141,$142.95,$136.84
07/22/2022,$142.99,7918718,$157.64,$161.15,$142.12
07/21/2022,$157.73,4598416,$155.47,$161.3,$154.48
07/20/2022,$156.9,6461486,$147.94,$158.54,$147.0001
07/19/2022,$146.46,5782195,$149,$149.25,$141.4265
07/18/2022,$146.47,5710545,$150.5,$154.54,$145.8
07/15/2022,$147.95,5836409,$146.81,$150.22,$143.24
07/14/2022,$146.2,5345742,$148.6,$148.905,$141.57
07/13/2022,$149.6,6728649,$142.45,$154.29,$141.28
07/12/2022,$145.43,6783474,$157,$159.8,$144.1806
07/11/2022,$155.4,4141473,$158.05,$159.4,$152.6
07/08/2022,$159.68,6302316,$156.27,$164.78,$153.1
07/07/2022,$159.07,5823107,$155.06,$159.61,$152.1601
07/06/2022,$154,7381227,$154.96,$161.28,$152.12
07/05/2022,$154.9,8432449,$142,$155.6,$140.05
07/01/2022,$144.53,5787959,$140.085,$146.6697,$139.0101
06/30/2022,$139.06,6208495,$141.75,$142.98,$136.13
06/29/2022,$143.03,4794689,$141.65,$144.22,$139.35
06/28/2022,$143.76,10125750,$154.62,$154.62,$142.81
06/27/2022,$148.15,7273535,$150.38,$152.2,$144.29
06/24/2022,$151.53,12204580,$144,$152.02,$143.84
06/23/2022,$143.11,16880220,$136.28,$143.8698,$131.55
06/22/2022,$127.36,5996998,$120.87,$129.98,$120.13
06/21/2022,$122.54,5005586,$122.6,$125.88,$122
06/17/2022,$119.38,5754390,$114.5,$120.575,$114.28
06/16/2022,$114.38,6207314,$118.19,$119.6,$113.75
06/15/2022,$122.54,10479810,$118.65,$124.35,$115.72
06/14/2022,$113.87,7119013,$113.3,$116.5,$110.265
06/13/2022,$113.3,7139333,$114.49,$118.1799,$112.11
06/10/2022,$122.42,8900142,$129,$129.39,$119.43
06/09/2022,$133.23,7253735,$136.18,$139.675,$130.78
06/08/2022,$135.57,5157514,$131.23,$136.29,$130.03
06/07/2022,$131.26,5812015,$126,$131.9,$124.31
06/06/2022,$128.07,5189339,$132.6,$134.48,$125.78
06/03/2022,$129.82,6696782,$134.98,$138.24,$128.85
06/02/2022,$138.24,8477360,$126.81,$140.7,$126.11
06/01/2022,$126.15,12114960,$129.36,$135.83,$123.82
