Date,Close/Last,Volume,Open,High,Low
08/01/2022,$38.24,2422198,$38.31,$38.685,$37.96
07/29/2022,$37.94,3018124,$37.67,$38.005,$37.47
07/28/2022,$37.24,3704142,$36.42,$37.44,$36.02
07/27/2022,$36.33,4979562,$35.11,$36.595,$35.06
07/26/2022,$34.29,2898595,$34.33,$34.53,$34.1
07/25/2022,$35.06,3463409,$35.01,$35.18,$34.695
07/22/2022,$34.72,3064305,$35.03,$35.16,$34.295
07/21/2022,$35.22,3288557,$34.76,$35.225,$34.39
07/20/2022,$34.65,4531675,$33.84,$34.7,$33.71
07/19/2022,$34.37,4432250,$32.89,$34.41,$32.89
07/18/2022,$32.63,3342204,$33.04,$33.32,$32.47
07/15/2022,$32.71,2809547,$32.26,$32.71,$31.94
07/14/2022,$32.04,3407000,$31.22,$32.12,$30.835
07/13/2022,$31.46,3238131,$30.79,$31.665,$30.735
07/12/2022,$31.15,2795052,$31.17,$31.42,$30.93
07/11/2022,$31.1,4096104,$31.1,$31.345,$30.79
07/08/2022,$31.24,3010218,$30.7,$31.38,$30.55
07/07/2022,$30.82,3128766,$30.31,$30.89,$30.31
07/06/2022,$30.08,4401646,$29.7,$30.29,$29.555
07/05/2022,$29.56,5837812,$28.43,$29.57,$28.35
07/01/2022,$30.4,3573461,$30.68,$30.93,$29.95
06/30/2022,$31.47,3986169,$31.08,$31.77,$30.55
06/29/2022,$32.24,2870917,$32.47,$32.48,$31.95
06/28/2022,$32.6,2884352,$33.54,$33.87,$32.57
06/27/2022,$33.47,2649893,$33.85,$33.94,$33.37
06/24/2022,$33.84,3552958,$32.92,$33.89,$32.86
06/23/2022,$32.65,2811559,$32.91,$33.03,$32.325
06/22/2022,$33.13,2817669,$32.98,$33.81,$32.98
06/21/2022,$33.78,3368448,$33.96,$34.14,$33.705
06/17/2022,$33.19,4176532,$32.94,$33.495,$32.59
06/16/2022,$33.04,5135346,$33.68,$33.95,$32.77
06/15/2022,$35.16,4702543,$34.77,$35.625,$34.31
06/14/2022,$33.97,3763353,$34.2,$34.37,$33.545
06/13/2022,$33.72,5275821,$34.31,$34.74,$33.61
06/10/2022,$36.31,3374263,$36.89,$37.14,$36.27
06/09/2022,$37.55,3255910,$38.14,$38.8,$37.54
06/08/2022,$39.22,2256204,$39.51,$39.72,$39.04
06/07/2022,$39.69,2583461,$38.87,$39.74,$38.7
06/06/2022,$39.33,2217520,$39.93,$40.2,$39.14
06/03/2022,$39.64,2565342,$39.91,$40.03,$39.395
06/02/2022,$41.05,3273714,$39.84,$41.0867,$39.68
06/01/2022,$39.5,2668725,$40.18,$40.39,$38.99
05/31/2022,$40.08,3075024,$40.32,$40.32,$39.72
05/27/2022,$40.23,2507739,$39.6,$40.245,$39.58
05/26/2022,$39.28,3442428,$37.72,$39.34,$37.62
05/25/2022,$38.49,2925388,$37.7,$38.755,$37.67
05/24/2022,$38.25,3635240,$38.56,$38.75,$38.02
05/23/2022,$39.32,3203531,$39.24,$39.52,$38.84
05/20/2022,$39.07,5446184,$39.68,$39.7,$37.725
05/19/2022,$39.06,4849976,$38.92,$39.78,$38.64
05/18/2022,$38.41,4489265,$39.4,$39.86,$38.32
05/17/2022,$40.57,4291436,$40.33,$40.615,$39.8
05/16/2022,$38.68,4325800,$38.97,$39.14,$38.51
05/13/2022,$39.53,6760885,$38.74,$39.71,$38.5
05/12/2022,$37.02,9561934,$36.71,$37.52,$36.02
05/11/2022,$35.06,5334894,$35.84,$36.51,$35.01
05/10/2022,$35.79,5806691,$35.83,$36.295,$35.14
