Date,Close/Last,Volume,Open,High,Low
08/01/2022,$105.39,2386198,$103.38,$107.92,$101.85
07/29/2022,$103.86,3975872,$105.485,$105.485,$101.01
07/28/2022,$106.22,2380026,$104.46,$106.9023,$100.81
07/27/2022,$105.91,3182827,$102.16,$106.46,$100.55
07/26/2022,$100.33,2878190,$105.03,$105.13,$100.01
07/25/2022,$106.1,2039827,$106.39,$106.96,$103.91
07/22/2022,$106.55,2656806,$111,$112.95,$105.69
07/21/2022,$110.85,2982121,$107.5,$111.27,$107.3
07/20/2022,$107.09,4298143,$103.49,$109.87,$103.375
07/19/2022,$102.08,2829546,$100.4,$102.219,$97.65
07/18/2022,$98.92,6516548,$101.98,$102.18,$98.49
07/15/2022,$99.85,4714444,$97.86,$99.97,$96.11
07/14/2022,$97.35,5552646,$101.35,$101.44,$96.84
07/13/2022,$101.01,7902955,$103.635,$105.4,$99.8
07/12/2022,$107.99,4205070,$109.79,$113.6,$106.91
07/11/2022,$108.38,5465160,$117.16,$117.54,$107.73
07/08/2022,$119.8,3261741,$118.62,$124.05,$117.66
07/07/2022,$120.74,3036624,$116.5,$121.26,$116.33
07/06/2022,$117.06,4198147,$120.68,$123.96,$116.57
07/05/2022,$120.42,5315937,$110.56,$120.75,$108.4097
07/01/2022,$110.97,2800258,$108.77,$111.9787,$106.83
06/30/2022,$107.97,4249588,$110,$111,$104.78
06/29/2022,$111.87,2711793,$112.93,$113.72,$110.04
06/28/2022,$113.13,3694904,$119.82,$122.085,$112.86
06/27/2022,$119.82,3457164,$122.48,$123.73,$117.68
06/24/2022,$122.64,12212800,$118.81,$122.99,$118.12
06/23/2022,$117.67,5464375,$116.24,$118.4,$110.6701
06/22/2022,$115.17,5490304,$112.03,$119.53,$111.77
06/21/2022,$113.82,6176200,$112.15,$117.3704,$110.86
06/17/2022,$110,6143372,$107.095,$111.92,$106.3932
06/16/2022,$106.09,4714553,$108.1,$109.65,$104.15
06/15/2022,$112.93,5954516,$107.5,$114.73,$106.13
06/14/2022,$106.86,6815042,$103.9,$109.85,$103.78
06/13/2022,$103.32,7183928,$102.82,$106.38,$102.12
06/10/2022,$109.07,5774878,$106.934,$110.99,$106.12
06/09/2022,$110.4,4302582,$112.17,$116.1699,$110.34
06/08/2022,$115.46,3583910,$115.4,$116.9,$113.16
06/07/2022,$115.04,3951886,$110.5,$115.32,$109.05
06/06/2022,$111.01,2867515,$112.33,$112.91,$108.51
06/03/2022,$109.42,3882056,$109.66,$111.8,$107.3
06/02/2022,$112.24,4991808,$107.43,$114.08,$107.03
06/01/2022,$107.65,4700753,$107.96,$110.89,$104.92
05/31/2022,$107.45,5930245,$112.64,$112.87,$105.58
05/27/2022,$110.42,7097145,$108,$111.24,$105.55
05/26/2022,$107,10633580,$101.895,$108.17,$101.77
05/25/2022,$102.34,13892040,$94.14,$104.2655,$94
05/24/2022,$94.34,27414950,$94.56,$97.09,$87.33
05/23/2022,$89.33,11240310,$89.87,$90.25,$85.57
05/20/2022,$89.74,4741373,$92.62,$94.85,$85.55
05/19/2022,$90.94,4746869,$85.74,$93.49,$84.685
05/18/2022,$84.69,3854185,$88.68,$91.11,$84.04
05/17/2022,$90.94,4208820,$91.36,$95.1,$86.4091
05/16/2022,$88.92,4501282,$93.43,$95.83,$88.66
05/13/2022,$94.84,5687602,$88.72,$95.6284,$88.2542
05/12/2022,$84.97,7178844,$81.13,$87.79,$79.03
05/11/2022,$84.8,6182562,$88.93,$94.16,$84.17
05/10/2022,$90.68,6315123,$95.6,$98.07,$87.34
05/09/2022,$92.34,5766253,$94.05,$96.83,$91.65
05/06/2022,$96.38,4635546,$100.49,$102.03,$94.01
05/05/2022,$100.84,3661612,$107.13,$107.36,$99.32
05/04/2022,$108.98,3750963,$103.96,$109.34,$99.3
05/03/2022,$103.53,2103242,$104.11,$106.99,$102.13
05/02/2022,$104.79,3164651,$99.15,$105.08,$98.17
04/29/2022,$99.57,3608956,$102.67,$107.84,$99.395
04/28/2022,$102.56,3585167,$98.1,$103.92,$95.72
04/27/2022,$97.62,3522690,$97.69,$102.04,$97.297
04/26/2022,$98.36,3786042,$100.75,$101.68,$96
04/25/2022,$102.44,2724189,$99.51,$103.09,$98.9002
04/22/2022,$100.17,3784423,$101.155,$104.99,$99.3
04/21/2022,$100.95,4395301,$105.2,$108.49,$100.55
04/20/2022,$103.7,4512050,$109.53,$109.91,$103.4
04/19/2022,$111.18,3289391,$105.44,$112.33,$104.0746
04/18/2022,$105.74,4152455,$109.73,$109.93,$103.62
04/14/2022,$110.31,4499615,$114.66,$114.66,$110.14
04/13/2022,$114.89,4677812,$106.3,$115.825,$105.16
04/12/2022,$106.58,3249599,$111.69,$114.7,$106.24
04/11/2022,$109.05,3902782,$107.91,$111.11,$106.4123
04/08/2022,$110.9,3953271,$112.37,$113.27,$109.3876
04/07/2022,$114.32,3498047,$115.14,$118.12,$111.33
04/06/2022,$116.09,5161483,$118.03,$118.56,$113.34
04/05/2022,$122.02,4906459,$123.92,$126.44,$120.43
04/04/2022,$124.28,3081278,$119.39,$124.99,$118.33
04/01/2022,$118.02,2793292,$117.56,$120.496,$116.11
03/31/2022,$117.23,2903091,$122.75,$122.81,$117.16
03/30/2022,$122.39,3987789,$124.26,$127.37,$121.23
03/29/2022,$126.26,4757130,$119.9765,$126.53,$119.9765
03/28/2022,$117.45,3289344,$114.87,$118.31,$113.63
03/25/2022,$113.93,4217677,$117.13,$117.58,$112.45
03/24/2022,$117.75,3332021,$117.35,$117.78,$113.97
03/23/2022,$116.81,3443344,$117.215,$120.27,$115.95
03/22/2022,$119.8,5003148,$116.01,$122.24,$115.4
03/21/2022,$116.87,5941501,$115.01,$119.89,$113.35
03/18/2022,$116.28,8521832,$109.49,$117.8399,$109.21
03/17/2022,$111.29,4967538,$106.46,$111.33,$105
03/16/2022,$106.84,8003038,$100.55,$106.88,$100.17
03/15/2022,$98.97,7001747,$96.09,$100.595,$95.26
03/14/2022,$94.64,6715662,$97.5,$102.16,$94.51
03/11/2022,$98.12,6454629,$103.48,$103.49,$97.9
03/10/2022,$103.33,5030777,$105.835,$106.9,$101.055
03/09/2022,$109.08,6427507,$111.84,$111.84,$108.06
03/08/2022,$108.49,5581784,$106.67,$114.29,$105.0001
03/07/2022,$107.88,6240205,$111.13,$115.24,$107.72
03/04/2022,$108.94,6227090,$114.1,$116.19,$108.43
03/03/2022,$113.11,6211452,$122,$122.06,$111.95
03/02/2022,$121.61,7224285,$122.25,$122.89,$114.52
03/01/2022,$122.78,11541560,$128.57,$136,$122.13
02/28/2022,$132.6,12033140,$126.79,$135.09,$125.1
02/25/2022,$125.32,5242599,$129.05,$129.06,$120.02
02/24/2022,$126.97,6998541,$114.74,$128.74,$114.26
02/23/2022,$120.1,4634693,$127.99,$128.15,$120.1
02/22/2022,$126.61,4445964,$125.055,$130.73,$124.98
02/18/2022,$126.96,5435014,$130.13,$131.94,$124.71
02/17/2022,$129.38,4944736,$137.63,$137.735,$128.93
02/16/2022,$138.51,3928926,$144.49,$144.69,$136.395
